"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"9093","GMPPA",494,-0.079749,0.936436887162386,0.971719406787425,"FALSE"
"9094","NDST2",3748,-0.079845,0.936360533724561,0.971719406787425,"FALSE"
"9095","COMMD1",5608,-0.08054,0.935807784147603,0.971342445870131,"FALSE"
"9096","COX4I1",15509,-0.080751,0.93563997707693,0.971303760487826,"FALSE"
"9097","ASCL5",15110,-0.080763,0.9356304336327,0.971303760487826,"FALSE"
"9098","C15orf41",8979,-0.081585,0.934976729792406,0.970799829239082,"FALSE"
"9099","C3orf38",7866,-0.082274,0.934428829305492,0.970294922997756,"FALSE"
"9100","SLC9A9",10322,-0.082276,0.934427238928261,0.970294922997756,"FALSE"
"9101","ZAN",523,-0.082915,0.933919126836391,0.970001331886031,"FALSE"
"9102","TPGS2",12043,-0.083367,0.93355972732825,0.969712225015391,"FALSE"
"9103","SNHG5",10891,-0.083818,0.933201136449397,0.969403700824421,"FALSE"
"9104","STX4",7885,-0.083931,0.933111292075049,0.96937432658496,"FALSE"
"9105","CWC27",7549,-0.084192,0.932903778681675,0.969222698471988,"FALSE"
"9106","STK4-AS1",7407,-0.084277,0.932836198675136,0.969216441080904,"FALSE"
"9107","ASXL1",10779,-0.084672,0.932522156769254,0.968954092148875,"FALSE"
"9108","LINC02012",7280,-0.084924,0.932321811468457,0.968809854908319,"FALSE"
"9109","RUSC2",5530,-0.08581,0.931617456952545,0.968205733314708,"FALSE"
"9110","LTB4R2",15439,-0.086075,0.931406796962156,0.968050697614968,"FALSE"
"9111","NKAP",7227,-0.086082,0.931401232423711,0.968050697614968,"FALSE"
"9112","NAXD",2252,-0.086326,0.931207270609568,0.967971114791552,"FALSE"
"9113","SYP",3734,-0.086377,0.931166729926537,0.967971114791552,"FALSE"
"9114","EIF4G2",1906,-0.086429,0.931125394512031,0.967971114791552,"FALSE"
"9115","PARVA",13047,-0.086483,0.93108246947052,0.967971114791552,"FALSE"
"9116","PHYKPL",9385,-0.086684,0.930922694689896,0.967935872773238,"FALSE"
"9117","MPP3",7210,-0.086922,0.930733512231392,0.967862040161368,"FALSE"
"9118","PLEKHG3",6918,-0.087239,0.930481539994511,0.967735285161589,"FALSE"
"9119","PICALM",2315,-0.087407,0.930348005481023,0.967735285161589,"FALSE"
"9120","FAM153A",1002,-0.087584,0.930207319454195,0.967698331338375,"FALSE"
"9121","SCARB2",11573,-0.087655,0.930150886688842,0.967698331338375,"FALSE"
"9122","CASP10",6271,-0.087671,0.930138169494426,0.967698331338375,"FALSE"
"9123","ATF7IP",13029,-0.087716,0.930102402480782,0.967698331338375,"FALSE"
"9124","MYLIP",7147,-0.088142,0.929763815089367,0.967684510086071,"FALSE"
"9125","INTS1",4850,-0.088532,0.929453851862508,0.967617753079555,"FALSE"
"9126","TTC23L",13623,-0.088631,0.929375170590833,0.967599818882012,"FALSE"
"9127","CTSV",8205,-0.088883,0.929174894107267,0.967583247865008,"FALSE"
"9128","KRTAP4-1",193,-0.088936,0.929132773036398,0.967583247865008,"FALSE"
"9129","IGF2BP3",4282,-0.089392,0.928770381094396,0.967435327808397,"FALSE"
"9130","MMP19",2972,-0.089468,0.928709983871524,0.967435327808397,"FALSE"
"9131","SEC24C",6679,-0.089636,0.928576475678724,0.967435327808397,"FALSE"
"9132","FASN",14754,-0.08985,0.928406414583279,0.967358811303933,"FALSE"
"9133","LINC01126",5338,-0.089955,0.928322974586899,0.967335885828638,"FALSE"
"9134","DHRS7",4971,-0.09039,0.927977303007865,0.967102621703727,"FALSE"
"9135","EPHB4",3346,-0.090407,0.927963794279163,0.967102621703727,"FALSE"
"9136","HINFP",14694,-0.090652,0.927769111967272,0.967102621703727,"FALSE"
"9137","LOC101927596",6019,-0.09079,0.927659456078148,0.967102621703727,"FALSE"
"9138","SLFN12",4774,-0.090803,0.927649126246325,0.967102621703727,"FALSE"
"9139","FAAP20",10621,-0.090848,0.927613369230336,0.967102621703727,"FALSE"
"9140","GPATCH11",8775,-0.09199,0.926705984747038,0.966546484488746,"FALSE"
"9141","DUSP5",4572,-0.092021,0.926681354793006,0.966546484488746,"FALSE"
"9142","APOD",5187,-0.092328,0.926437442593652,0.966522497590581,"FALSE"
"9143","SYT6",9645,-0.092949,0.925944077839201,0.966199847940766,"FALSE"
"9144","ANAPC2",15549,-0.093038,0.925873372497732,0.966190101403551,"FALSE"
"9145","POLR1C",4489,-0.093045,0.925867811428286,0.966190101403551,"FALSE"
"9146","PLEKHG1",14810,-0.093051,0.925863044800216,0.966190101403551,"FALSE"
"9147","HRASLS5",2831,-0.094215,0.924938369498846,0.965598370757149,"FALSE"
"9148","KIAA1324",8563,-0.094282,0.924885148135803,0.965598370757149,"FALSE"
"9149","G2E3",835,-0.094417,0.92477791208242,0.965558900910989,"FALSE"
"9150","MFGE8",9625,-0.094514,0.924700861835986,0.965542480907726,"FALSE"
"9151","MSLN",5691,-0.094567,0.924658762515179,0.965542480907726,"FALSE"
"9152","CNP",13528,-0.094794,0.9244784527185,0.965532201402049,"FALSE"
"9153","MISP3",2380,-0.094937,0.924364867481117,0.965511797697372,"FALSE"
"9154","IFITM5",12594,-0.094944,0.924359307404172,0.965511797697372,"FALSE"
"9155","UTP4",2150,-0.095144,0.924200449625007,0.965511797697372,"FALSE"
"9156","CYCS",2556,-0.095254,0.924113079134551,0.965505005373159,"FALSE"
"9157","XPO5",10218,-0.096387,0.923213216546902,0.964628846939477,"FALSE"
"9158","PTGER4P2-CDK2AP2P2",9513,-0.096672,0.92298687642048,0.964456355803057,"FALSE"
"9159","CFH",6210,-0.096687,0.922974963954829,0.964456355803057,"FALSE"
"9160","TGFBR3",11920,-0.097294,0.922492920702734,0.964196165458347,"FALSE"
"9161","PRPSAP1",13879,-0.097587,0.92226024772764,0.964144983764139,"FALSE"
"9162","HLF",1054,-0.097593,0.922255483162782,0.964144983764139,"FALSE"
"9163","KBTBD8",13817,-0.097986,0.921943410248635,0.963998218282019,"FALSE"
"9164","DNAJC15",13126,-0.098656,0.921411405278479,0.963700445050842,"FALSE"
"9165","C22orf15",91,-0.098789,0.921305802497195,0.963659062002147,"FALSE"
"9166","FICD",7901,-0.099469,0.920765900224263,0.963281287070825,"FALSE"
"9167","FXR2",5647,-0.099517,0.92072779085251,0.963281287070825,"FALSE"
"9168","CLCNKA",12151,-0.099575,0.920681742271197,0.963281287070825,"FALSE"
"9169","FAM126B",11593,-0.099842,0.92046976344138,0.963232515312012,"FALSE"
"9170","TESPA1",5545,-0.099849,0.920464206019921,0.963232515312012,"FALSE"
"9171","CBY1",7283,-0.101548,0.919115455966715,0.962390959246919,"FALSE"
"9172","DTX4",2122,-0.10173,0.918970989113762,0.962303686059869,"FALSE"
"9173","GOLGA5",5413,-0.102085,0.918689207074307,0.962136594744244,"FALSE"
"9174","PRB3",4118,-0.103599,0.917487581278847,0.961517702824511,"FALSE"
"9175","SP4",3533,-0.103961,0.917200298302708,0.961388692113787,"FALSE"
"9176","ANKHD1",7176,-0.104128,0.917067770847957,0.961388692113787,"FALSE"
"9177","C2orf72",4918,-0.104758,0.916567837752561,0.961368439608792,"FALSE"
"9178","PSKH1",14097,-0.105035,0.916348036330329,0.96121917601739,"FALSE"
"9179","EWSR1",8182,-0.105306,0.916133002138301,0.96105763999384,"FALSE"
"9180","ORM1",10415,-0.10553,0.915955266330876,0.960935212445339,"FALSE"
"9181","RPF1",3477,-0.105555,0.915935430005684,0.960935212445339,"FALSE"
"9182","RPE",11999,-0.106188,0.915433191727037,0.960515500715861,"FALSE"
"9183","TSPAN15",15371,-0.106424,0.915245951960931,0.960383039895025,"FALSE"
"9184","IL11RA",14791,-0.106939,0.914837373050893,0.960146276408899,"FALSE"
"9185","TMIE",2998,-0.10701,0.914781046458785,0.960146276408899,"FALSE"
"9186","NAPG",4076,-0.107287,0.914561297510662,0.959989504861418,"FALSE"
"9187","TMEM45B",583,-0.107687,0.914243982038197,0.95984340182646,"FALSE"
"9188","INTS14",11218,-0.107726,0.914213044510105,0.95984340182646,"FALSE"
"9189","NR2F1",2861,-0.10782,0.914138477668977,0.95984340182646,"FALSE"
"9190","RTN4",12276,-0.108293,0.913763275152913,0.959658669109032,"FALSE"
"9191","C19orf33",3132,-0.108704,0.91343726911818,0.959548425536079,"FALSE"
"9192","VPS33A",13252,-0.108723,0.913422198631392,0.959548425536079,"FALSE"
"9193","TMEM235",13477,-0.108849,0.913322258296508,0.959548425536079,"FALSE"
"9194","CDON",14012,-0.109786,0.912579094305128,0.958926711147507,"FALSE"
"9195","SLC25A39",10998,-0.110033,0.912383203589113,0.958809027590145,"FALSE"
"9196","USP48",8346,-0.110696,0.911857418024374,0.958616214648712,"FALSE"
"9197","SARS",514,-0.110791,0.911782082373256,0.95860102076435,"FALSE"
"9198","YDJC",2048,-0.111069,0.911561631025506,0.958433247445515,"FALSE"
"9199","ARF6",6938,-0.111649,0.911101718493489,0.958077643603819,"FALSE"
"9200","IFIT5",10910,-0.111701,0.911060486408588,0.958077643603819,"FALSE"
"9201","PAPSS2",5774,-0.111855,0.910938377408628,0.95803384892785,"FALSE"
"9202","FAM53B",1266,-0.112128,0.910721916625351,0.957870178842094,"FALSE"
"9203","SERPINH1",2160,-0.112269,0.910610120792675,0.957816577719331,"FALSE"
"9204","APOL6",11378,-0.113241,0.909839491404709,0.957575301196905,"FALSE"
"9205","ZBTB34",4460,-0.113341,0.909760213345652,0.957575301196905,"FALSE"
"9206","LRRC32",9979,-0.11373,0.909451830249154,0.957365719547565,"FALSE"
"9207","DMRTA2",4666,-0.113876,0.909336091011804,0.957307886666278,"FALSE"
"9208","FAM198B",11535,-0.113902,0.909315480116522,0.957307886666278,"FALSE"
"9209","ERAP1",4603,-0.114783,0.908617124021318,0.957115209082382,"FALSE"
"9210","NDUFA7",7018,-0.115543,0.908014739609952,0.956795215675099,"FALSE"
"9211","VARS2",1664,-0.115868,0.907757157139101,0.956733144062865,"FALSE"
"9212","ZBTB11",15091,-0.115985,0.907664429822661,0.956699454248078,"FALSE"
"9213","FANCD2",4078,-0.116295,0.907418748148358,0.956675786004973,"FALSE"
"9214","GAS2L1P2",15149,-0.116303,0.907412408093251,0.956675786004973,"FALSE"
