"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez"
"ENSG00000272644",3189.41117987073,-0.667748228706308,0.259196000204279,-2.57622890854812,0.0099884495746341,0.15738289988492,"DOWN",NA,NA
"ENSG00000237505",1587.77065521921,1.03607479853126,0.402257395473911,2.575651337151,0.0100051478765667,0.15738289988492,"UP","PKN2-AS1","101927891"
"ENSG00000229891",22596.7653112503,-0.436149824882768,0.169356846915764,-2.57533033252387,0.0100144392621463,0.15738289988492,"DOWN","LINC01315","102723775"
"ENSG00000225265",5400.35708503223,0.463385166382558,0.179940982179826,2.57520638583305,0.0100180289191311,0.15738289988492,"UP","TAF1A-AS1","100506161"
"ENSG00000267388",5317.969068658,-0.853161345048726,0.331302957400252,-2.57516972303392,0.0100190909409661,0.15738289988492,"DOWN",NA,NA
"ENSG00000171790",9779.38967504729,-0.794204482676355,0.308448481159321,-2.57483674321005,0.0100287410551445,0.15738289988492,"DOWN","SLFNL1","200172"
"ENSG00000272432",2623.57675595835,-0.562836702518683,0.218605769920879,-2.57466535637368,0.0100337112565952,0.15738289988492,"DOWN",NA,NA
"ENSG00000235033",143289.322770737,0.93692446840755,0.363905572010487,2.57463622563204,0.0100345562633397,0.15738289988492,"UP","DAAM2-AS1","100505635"
"ENSG00000217455",669.343820506494,1.32896886709009,0.516211609394405,2.57446528304385,0.0100395161387397,NA,"UP",NA,NA
"ENSG00000239801",2133.38991588947,0.665450727307741,0.258490384248215,2.574373237299,0.0100421877374625,0.15738289988492,"UP",NA,NA
"ENSG00000273391",4853.20226938956,-0.551089794625288,0.214109778646491,-2.57386560347238,0.0100569330271195,0.15738289988492,"DOWN",NA,NA
"ENSG00000119471",239949.982386952,0.39279487034648,0.152611577225263,2.57382092163751,0.010058231827583,0.15738289988492,"UP","HSDL2","84263"
"ENSG00000230982",3742.72449347383,0.742468810654782,0.288499367148137,2.57355438243836,0.0100659826264711,0.15738289988492,"UP",NA,NA
"ENSG00000151023",42640.3334297996,0.615078075817943,0.239004158824161,2.57350365300742,0.0100674584100367,0.15738289988492,"UP","ENKUR","219670"
"ENSG00000281028",8929.93477980201,0.625668463660788,0.243133481809205,2.57335377671994,0.0100718196271855,0.15738289988492,"UP",NA,NA
"ENSG00000104915",177380.173237843,-0.329956382237068,0.128236652933587,-2.57302709240198,0.0100813315731845,0.157384185270183,"DOWN","STX10","8677"
"ENSG00000171793",129127.744377265,-0.273434194540935,0.106282522323903,-2.57271081417907,0.0100905481493855,0.157384185270183,"DOWN","CTPS1","1503"
"ENSG00000248333",350339.285429816,-0.283708277456627,0.110282865965883,-2.57255082166976,0.0100952133040503,0.157384185270183,"DOWN","CDK11B","984"
"ENSG00000231628",3426.80216559813,0.647995774390315,0.251904100101652,2.57239073968556,0.010099882989808,0.157384185270183,"UP",NA,NA
"ENSG00000229808",1788.06090640136,-1.19213706603138,0.463466310565133,-2.57221946634639,0.0101048812637325,0.157384185270183,"DOWN",NA,NA
"ENSG00000261613",51985.9005285158,0.39216495875344,0.15248673428615,2.57179721625831,0.0101172132081088,0.157473466639716,"UP",NA,NA
"ENSG00000198077",926.624475576296,1.22441607048351,0.476215953588074,2.57113618571171,0.0101365457213783,NA,"UP","CYP2A7","1549"
"ENSG00000233757",2644.51049268276,0.852998633147808,0.331774421256202,2.57101988127381,0.0101399505640766,0.157613556884619,"UP",NA,NA
"ENSG00000119917",136478.886008684,0.33031631708739,0.128493560407672,2.57068382290437,0.0101497944831785,0.157613556884619,"UP","IFIT3","3437"
