Ctx_PD_up,Ctx_PD_dn,Str_PD_up,Str_PD_dn,SN_PD_up,SN_PD_dn,Ctx_DLB_up,Ctx_DLB_dn
VN1R1,VWF,,,,,GXYLT2,FAR2
C10orf114,PTPN13,,,,,TYK2,WDR11
SIGLEC5,SRSF6,,,,,TYMS,PRKAR1A
CCDC116,C2orf62,,,,,UBE2D2,VPS35
C14orf132,HIST1H4E,,,,,UBE2G1,PARVA
CCDC6,KRTAP3-1,,,,,UGT8,PRKAR1B
LPPR2,GSTT1,,,,,UQCRB,PRKAR2B
RPAP1,RBP7,,,,,VEGFA,PRKCA
HIST1H4H,FRZB,,,,,BEST1,MCTP2
ADCYAP1,RNASE6,,,,,TRPV1,FGD6
03-Sep,MBOAT1,,,,,VRK1,PRKCB
ZNF117,ZNF518A,,,,,VRK2,CSGALNACT1
FAM195A,CCDC21,,,,,C11orf9,MBNL3
PPP1R14C,C14orf126,,,,,CLIP2,CACNA2D3
DUS1L,C10orf110,,,,,XPO1,PRKCD
PCDH11Y,KIAA1467,,,,,XRCC2,SCN3B
C11orf80,GNG8,,,,,YES1,PRKCG
SMG5,MORN2,,,,,ZFP37,DCAF6
RAB3B,KIAA0040,,,,,ZFP161,CISD1
H1FNT,MORC4,,,,,ZNF2,BEX1
CCDC129,RBM5,,,,,C21orf2,ACTR10
GNG4,CRYM,,,,,ZNF182,LMO3
C14orf142,C10orf28,,,,,ZNF22,GPRC5C
GRM2,ATG4C,,,,,ZNF24,ZC4H2
NISCH,ZNF711,,,,,ZNF32,LANCL2
PUS7L,LOXL3,,,,,ZNF37A,PRKG1
CERS1,OLFML3,,,,,ZSCAN21,NKRF
LMO4,PKD1L2,,,,,ZNF43,MYO5C
TMEM220,GDF15,,,,,ZNF45,MAPK1
NTF3,C9orf75,,,,,CA2,SULF2
KCNV1,GPKOW,,,,,ZNF79,03-Sep
,ZMYND15,,,,,ZNF222,BCAP29
,SALL4,,,,,ZNF124,MAPK10
,CSPG4,,,,,ZNF131,MAPK13
,ANKRD37,,,,,ZNF135,PDGFC
,NKAP,,,,,ZNF137P,MAP2K1
,C20orf144,,,,,ZNF143,TMEM234
,ACP5,,,,,ZNF146,PCDHGC5
,AFF4,,,,,ZNF202,PCDHGA10
,TAGLN,,,,,ZNF230,PCDHGA9
,TP63,,,,,ZNF232,PCDHB13
,FBN1,,,,,SLC30A1,PCDHB11
,SH3BP4,,,,,SLC30A4,PCDHB10
,SPARC,,,,,EVI5,PCDHB9
,CRISPLD2,,,,,NPHS2,PCDHB4
,RHBDD1,,,,,CXCR4,TDRD1
,ZMYND12,,,,,MAPKAPK3,PRNP
,KRTAP10-7,,,,,MIS12,SUSD2
,FRMD8,,,,,DSCC1,KIAA1217
,LIPJ,,,,,ALG12,GPCPD1
,WDR1,,,,,ZNF426,CCBL2
,GPRC5A,,,,,TMEM185B,PROS1
,MYH11,,,,,FA2H,PRPS2
,TMEM79,,,,,MFSD11,PRMT8
,LHPP,,,,,C7orf23,PPAN
,PPWD1,,,,,CENPO,LGMN
,CCDC102B,,,,,ZNF576,KCNQ5
,PYCR2,,,,,BHLHE41,RELN
,AASDH,,,,,HMGN5,PSD
,TTC25,,,,,TFEB,TMEM9B
,VEZF1,,,,,C2orf47,NRIP3
,SCD,,,,,EPM2A,B2M
,FERMT1,,,,,ADIPOR2,PSMA1
,ACP6,,,,,CERS4,ZC3HAV1
,TP53INP1,,,,,NAA16,CELF4
,TARBP1,,,,,HMBOX1,FSTL5
,HPS3,,,,,RNASEH2B,C8orf4
,IGFBP5,,,,,SH3TC2,ANKS1B
,LYPLAL1,,,,,C22orf46,PSMB2
,PI4K2B,,,,,NARG2,MEIS3
,MYLK,,,,,FASTKD1,NMUR2
,PAK2,,,,,OGFOD2,PAK6
,SAP30L,,,,,SMC6,CA10
,CASK,,,,,C11orf61,C14orf162
,TLN1,,,,,SAP30L,ARNTL2
,TMEFF1,,,,,LINC00341,OLFML3
,FAM46C,,,,,THAP9,NIT2
,TCN2,,,,,WDR59,C14orf132
,OGN,,,,,NARS2,PSMB9
,PRKCSH,,,,,TTLL7,PSMG2
,SLC4A7,,,,,CLIP4,CXCR7
,LIMA1,,,,,C15orf29,ANKMY2
,GOLGA8A,,,,,MICALL2,PLSCR4
,LPCAT3,,,,,MTERF,CAMK1D
,C18orf55,,,,,LRRC31,CD177
,DICER1,,,,,ZNF665,CHMP1B
,LOC147727,,,,,CLMN,MAN1C1
,CDKN1A,,,,,C12orf49,PAK7
,FAM129A,,,,,ZNF408,TRIM54
,COL29A1,,,,,ALS2CR8,CAMK1G
,OR5D14,,,,,HPS6,ACTR3B
,SLC35B3,,,,,SLTM,SLC39A10
,PROM1,,,,,EHMT1,PSMD13
,PAGE3,,,,,MOB3B,ATP10D
,IQGAP2,,,,,ZNF552,SLC45A4
,ABCG1,,,,,ZDHHC11,GPR126
,NMD3,,,,,CSPP1,KIAA1199
,TMEM222,,,,,ZNF669,PTGDR
,COMMD2,,,,,RPAP2,PTGDS
,OR3A3,,,,,HDAC11,PTGER4
,PDE1C,,,,,ZNF672,PTGIS
,IFNB1,,,,,PRR5L,RHBDD2
,EFHD1,,,,,TMC7,SLC24A3
,NR4A3,,,,,MAP6D1,PTGS2
,TRAF1,,,,,SYNDIG1,ODZ2
,FN1,,,,,ERMP1,GALNTL1
,KLHL32,,,,,PAQR6,PTH2R
,DUOX1,,,,,GREB1L,PPM1H
,FZD10,,,,,DOCK5,FAM40B
,KRTAP21-2,,,,,FAM192A,TBC1D24
,CLDND1,,,,,PHC3,SLC12A5
,MORF4L1,,,,,FOXRED2,RNF150
,GPAA1,,,,,ANP32A-IT1,ESYT2
,C9orf85,,,,,DCAF17,ODF2L
,ALCAM,,,,,C15orf34,RIMKLB
,NNAT,,,,,ZFP2,MKL2
,FAM29A,,,,,NAA15,LRFN2
,PTPN1,,,,,SPSB1,GPR158
,OTUD1,,,,,TTI2,NYNRIN
,VTI1B,,,,,NUBPL,PCDH19
,DONSON,,,,,PAAF1,KCTD16
,FAIM,,,,,ORAI2,HACE1
,MMRN1,,,,,ZNF430,KIAA1324
,SPCS2,,,,,EFHD1,PTK7
,hCG_17955,,,,,GKAP1,NCEH1
,DLD,,,,,CEP70,KLHL14
,FOSB,,,,,ULBP2,ARHGAP20
,H2AFJ,,,,,PNPLA3,KIF17
,FMO4,,,,,SLC25A16,SYT13
,NUCB1,,,,,TRAF3IP3,PDZD4
,HK2,,,,,TSGA10,PITPNM2
,MAOB,,,,,SRCIN1,KIAA1467
,DNAJC5G,,,,,PTP4A2,NYAP2
,OR52I2,,,,,FXR1,DPP10
,ETFB,,,,,RND2,PTN
,KBTBD10,,,,,TMX1,KIAA1524
,LRDD,,,,,TDRD3,ZDBF2
,EML1,,,,,TRIM8,VAT1L
,CDV3,,,,,SNX27,CPNE5
,PDGFD,,,,,CAB39L,FAM160B1
,VANGL2,,,,,TSC22D4,PTPN3
,POLR2J3,,,,,MAP1LC3B,FAM5B
,C18orf16,,,,,C15orf5,CYP4F11
,ZNF300P1,,,,,ZNF611,PTPN14
,TBRG1,,,,,ZNF239,PTPRE
,ZNF185,,,,,GTPBP6,PTPRG
,SPATA21,,,,,ZRSR2,PTPRM
,04-Sep,,,,,CAPN2,PTPRN
,WEE1,,,,,CAPN3,PTPRO
,SEMA4D,,,,,LAGE3,PTPRR
,C20orf62,,,,,DYSF,PTPRZ1
,MYO6,,,,,PICALM,PVALB
,COPG,,,,,FZD8,BBS1
,NRBP2,,,,,AIF1L,PYGL
,WDR20,,,,,THAP2,SQRDL
,CAPN13,,,,,FAM107B,JAM2
,CYTH1,,,,,HIST1H4B,DLGAP3
,LHFP,,,,,NRIP2,RAB3A
,BACE1,,,,,ITCH,RAB27A
,LRP6,,,,,TAF3,RAB27B
,F2RL1,,,,,SNX25,ACTA2
,PRKRA,,,,,C1orf124,RARB
,ASMTL,,,,,RACGAP1P,RARRES3
,MIR7-3HG,,,,,SLC4A11,C21orf63
,FRK,,,,,PLA2G6,NTN4
,CARNS1,,,,,TSSK6,SCPEP1
,FLJ46026,,,,,PLA2G10,RBM3
,MANBA,,,,,MND1,TMEM35
,C14orf100,,,,,QRICH2,RBMS1
,AKR1C3,,,,,NSRP1,RBMS2
,TM7SF2,,,,,ZNF394,CCND1
,C9orf116,,,,,TOMM40L,RBP4
,PSD3,,,,,SLC7A6OS,RFX3
,TBC1D2,,,,,FAM161A,RGS1
,AK1,,,,,ZNF644,RGS2
,JAG1,,,,,ELMOD3,RGS4
,ANKRD28,,,,,ZCCHC7,ACTB
,NSBP1,,,,,C12orf26,RGS7
,P2RX6,,,,,FAM96A,RLBP1
,ARSI,,,,,IQCG,AFAP1
,CAPS2,,,,,RHBDD1,RNASE4
,SLC24A1,,,,,DCUN1D5,HPSE2
,TRPM6,,,,,PSMG3,C2orf43
,FGFR2,,,,,CHCHD5,CELF6
,IGFBP7,,,,,POLDIP3,CELF5
,FAM49B,,,,,C2orf88,ROBO2
,HAPLN2,,,,,EFCAB2,ROS1
,ARHGAP1,,,,,ING5,RPGR
,C12orf60,,,,,WDR83,CTXN3
,GPR114,,,,,ZNF397,RPL10
,LOC727877,,,,,CCDC77,RPN2
,HIATL1,,,,,LZIC,RPS3
,MKRN3,,,,,HOOK3,RRAS
,IGFL2,,,,,KIAA1826,RTN1
,MAFF,,,,,DOT1L,S100A4
,SIRT2,,,,,LCOR,S100A8
,SNORD104,,,,,MEGF10,S100A9
,EFHC2,,,,,KIAA1841,S100A10
,GUSBP1,,,,,MT4,S100A11
,LOC441294,,,,,ZBTB37,S100A12
,C4orf11,,,,,ZNF594,CFB
,CCDC148,,,,,SUPT3H,SAT1
,LOC728554,,,,,USP38,SCN1A
,TRIM4,,,,,FAM126A,SCN2A
,SFRS18,,,,,USP32,SCN2B
,HS3ST5,,,,,ZNF347,SCN3A
,TYSND1,,,,,GPT2,SRL
,RAX2,,,,,CNDP1,CCL19
,ANGPT1,,,,,CDC42BPA,CX3CL1
,PAGE1,,,,,ZNF577,SDC2
,C4orf46,,,,,CROCCP2,SDC4
,IMMP1L,,,,,SEMA7A,SDCBP
,MAGEC2,,,,,TRIM52,CXCL12
,SFXN4,,,,,RSPO3,PKNOX2
,CENPN,,,,,ZC3H10,PRDM1
,PRRG1,,,,,C1orf198,NAPB
,SCNN1D,,,,,FAM73B,GALNT11
,B4GALT1,,,,,TMTC4,SECTM1
,MED14,,,,,PPP1R15B,ANO3
,DAZAP2,,,,,ALG10,SELP
,TMBIM4,,,,,ZFYVE19,TSPYL2
,HEPACAM,,,,,ATG4C,SMOC2
,SUV420H1,,,,,LTV1,ELTD1
,WDR61,,,,,SERAC1,TINAGL1
,PCTK3,,,,,PPFIBP2,KIF9
,ZNF559,,,,,MFSD5,NECAB1
,GSTP1,,,,,FRMD5,STRA6
,DNMBP,,,,,MGC14436,ATL2
,SLC48A1,,,,,RBM17,SFRP2
,SLC25A35,,,,,C21orf119,MS4A6A
,VAMP1,,,,,USP45,RGNEF
,HTATIP2,,,,,PKP4,SRSF5
,FCGR3B,,,,,C9orf37,NFKBIZ
,MTUS1,,,,,HAT1,ECRP
,PPP2R3A,,,,,DGKD,UG0898H09
,MORN1,,,,,KRTAP9-4,BLVRA
,SSFA2,,,,,PPIL4,WBSCR17
,LIG1,,,,,ALG2,SUSD1
,EVI2B,,,,,BCAS1,SCG5
,C1orf168,,,,,SLC45A3,CSMD1
,GPT,,,,,PIR,RASSF10
,ACCS,,,,,LRRCC1,SH3GL2
,BTF3,,,,,CNTNAP4,FLJ43390
,IER3,,,,,KIAA1737,SHC1
,TSPAN15,,,,,AP3B1,SMAP2
,SCRG1,,,,,FHDC1,CCDC14
,THAP9,,,,,ZC3H12C,RABL5
,MBNL3,,,,,SSH2,ST6GAL1
,ARHGAP11A,,,,,LGR5,YTHDC2
,CLN5,,,,,CDC14B,AGXT2L1
,CCR2,,,,,PRPF18,SIX1
,HMGB3,,,,,ACTL6A,NDRG4
,OSBPL11,,,,,NOP14,SLC26A10
,CDC2L6,,,,,PLA2G4C,SLC1A1
,MGST1,,,,,PPAP2C,RAPH1
,TXNL1,,,,,RNASET2,SLC1A2
,FAM124A,,,,,SSNA1,SLC1A3
,TMEM31,,,,,CBFB,RTN4R
,AHR,,,,,PNPT1,INTS3
,TUBB4Q,,,,,URI1,BMP4
,SLC5A9,,,,,RIPK1,PCDH15
,ZNF83,,,,,CBS,WNK4
,CCL17,,,,,SNAP23,SLC6A1
,ELOVL5,,,,,IQGAP1,GATSL3
,TMEM231,,,,,DLEU2,BMP5
,SERTAD2,,,,,ASAP2,SLC6A11
,IRX4,,,,,APLN,ACTR3C
,CRIPAK,,,,,SYNJ2,BMP6
,ZCCHC18,,,,,SLC5A6,SLC6A13
,PPP2R3B,,,,,CCNA2,SLC7A2
,KIAA1377,,,,,ENDOU,SLC8A2
,TMPRSS12,,,,,TIMELESS,PCP4L1
,PEX7,,,,,RAB7L1,SLC9A2
,MRPS25,,,,,TOP3B,SLC14A1
,SERINC5,,,,,HPS4,SLCO2A1
,LBR,,,,,PLOD3,SLC22A3
,SH3D19,,,,,FAM125B,SLC22A2
,ACSBG1,,,,,RPS6KA4,SLIT3
,EMILIN3,,,,,OR6W1P,BMPR2
,GPR177,,,,,TMEM116,SLPI
,KIAA0776,,,,,CDKL2,SNAI2
,SMARCA5,,,,,UBE2CBP,SMARCA1
,NEXN,,,,,ZNF30,RASL11B
,SLC19A2,,,,,HIP1R,BMX
,PCDHB15,,,,,FAM105B,SNAP25
,CHD1,,,,,BAZ1B,SNCB
,CYSLTR1,,,,,ZNF766,UAP1
,FCGRT,,,,,ZNF468,SPARC
,ZNF451,,,,,ZNF160,BPGM
,CRYBG3,,,,,C15orf23,SPRR2A
,LOC388022,,,,,SPAG9,SPTAN1
,ACAA2,,,,,MAP7,SST
,MUC20,,,,,ZNF439,ZFP36L1
,FZD6,,,,,PAPSS1,STAT4
,STS,,,,,STARD13,STAT6
,RP4-691N24.1,,,,,PYGO2,STC1
,PTPLA,,,,,CLDN9,STIM1
,ZBTB5,,,,,HN1L,CDKL5
,LOC257054,,,,,TRIM41,STXBP1
,TSN,,,,,DPP9,SULT1C2
,STT3A,,,,,L3MBTL4,BSG
,CYP20A1,,,,,CCNE2,ABCC8
,C16orf74,,,,,RABEP1,SURF4
,SLITRK2,,,,,ANKRD40,SVIL
,NIPSNAP3A,,,,,UAP1L1,VAMP2
,LSM8,,,,,ACBD5,SYN1
,DAB2,,,,,RPS19BP1,SYN2
,EFNA1,,,,,ZNF830,SYP
,CDC14B,,,,,CHURC1,SYT1
,C8A,,,,,FAM55C,SYT4
,RDX,,,,,CHMP7,TACC1
,ZNF223,,,,,WDR20,KLF9
,ZFAND5,,,,,BUB3,TAGLN
,C1D,,,,,REPS2,KLF5
,TKT,,,,,FAM58A,TARBP1
,GYPC,,,,,C4orf42,TBX15
,COL9A1,,,,,OXNAD1,LOC692247
,ETFA,,,,,DSEL,TCF7L2
,OR3A4,,,,,MTSS1L,BTG1
,PILRB,,,,,UBTD2,TCN2
,TTC35,,,,,ATP6AP1L,ACTC1
,SLC9B1,,,,,RPS6KA5,TEK
,ZNF323,,,,,SPECC1,NR2F1
,CLCC1,,,,,AIMP1,NR2F2
,TAF9,,,,,C20orf72,TFDP1
,CAV1,,,,,CYTH1,TGFB1I1
,MFAP4,,,,,SHKBP1,TGFBI
,FAM102A,,,,,CENPBD1,TGFBR2
,OMA1,,,,,ZNF276,TGFBR3
,RBMS2,,,,,ACVR2B,TGM2
,CAPN1,,,,,SOCS6,THBD
,PRSS35,,,,,CD83,THBS1
,TMEM99,,,,,C13orf27,THRB
,ALKBH7,,,,,ACCN3,THY1
,KLHL24,,,,,TRIP10,KLF10
,DSP,,,,,HMGN3,TIMP1
,ZFP1,,,,,GTF3C5,TIMP3
,PARP4,,,,,CD22,TIMP4
,POLR2G,,,,,ARMC6,ACTG1
,SELS,,,,,ZFAND4,SERPING1
,HDAC1,,,,,RG9MTD2,TSPAN7
,HMX1,,,,,WDR67,TMOD1
,COL1A2,,,,,TJAP1,C1QA
,HNRNPH1,,,,,RAB9A,CLDN5
,EMD,,,,,ACRC,TNFAIP3
,PTPLAD2,,,,,TTYH2,C1QB
,KCNJ16,,,,,SYAP1,TNFRSF1A
,LOC400986,,,,,GCFC1,TNFRSF1B
,SPTLC2,,,,,H2AFV,TNNT2
,TRMT5,,,,,CDYL,C1QC
,SLC40A1,,,,,ABCG2,TNR
,IPO13,,,,,QKI,TNXB
,NID2,,,,,MAP4K4,C1R
,PHC3,,,,,AKAP7,C1S
,C10orf78,,,,,CD34,TPD52L2
,PAQR3,,,,,MYOT,TPM1
,LPPR4,,,,,GAL3ST1,TPM2
,SORT1,,,,,CREB5,C2
,hCG_17324,,,,,AATK,TPM4
,BMP5,,,,,FEZ1,HSP90B1
,ANO4,,,,,ARHGEF10,TRAF5
,TOE1,,,,,FNIP1,ACTG2
,PHACTR1,,,,,RALGPS1,TSNAX
,KCNG2,,,,,MTFR1,TSPYL1
,UEVLD,,,,,SAFB2,TUB
,INSR,,,,,EIF5B,TTR
,S100A10,,,,,IPO13,TUBA4A
,GAS2,,,,,FAM53B,C5AR1
,TBCCD1,,,,,TTC35,TUBB2A
,TRUB1,,,,,ST18,LOC728392
,TCTN1,,,,,ADAMTSL2,LOC728606
,EGFLAM,,,,,UTP14C,FAM160A1
,CYP4X1,,,,,TMEM63A,SHISA9
,GNAI2,,,,,ZNF646,C7
,CCL8,,,,,SECISBP2L,LOC730102
,SLC25A5,,,,,CEP104,TYROBP
,LTF,,,,,CCP110,SUMO1
,LOC100130428,,,,,ZNF536,UCHL1
,BCAS1,,,,,PHF16,UPK1B
,ECHDC2,,,,,KIAA0101,UGDH
,PAPD4,,,,,RASSF2,COL14A1
,CSF1R,,,,,RAPGEF5,UTRN
,NKAIN4,,,,,SERTAD2,VCAM1
,DPRX,,,,,ACYP2,VCL
,CAV2,,,,,KIAA0494,VEGFC
,DDR1,,,,,KEAP1,VIM
,KIAA0831,,,,,NUPL1,VIP
,STK32A,,,,,ARHGAP11A,VIPR1
,MMP10,,,,,JAKMIP2,VIPR2
,INPP1,,,,,LCMT2,MPPED2
,LOC440993,,,,,ZEB2,VSNL1
,METRN,,,,,PLEKHM1,VWF
,GAGE6,,,,,GAB2,WARS
,PPIB,,,,,MFAP3L,WEE1
,HNRNPL,,,,,CEP350,WNT2
,C10orf67,,,,,TRIL,XBP1
,RHBDD2,,,,,ZC3H11A,YWHAB
,RDH10,,,,,ZBTB39,YWHAH
,ZFHX4,,,,,OSBPL2,YWHAZ
,PCOLCE,,,,,RHOBTB1,ZFP36
,MAT2A,,,,,07-Sep,ZIC1
,FNBP1,,,,,TECPR2,ZIC2
,IGSF11,,,,,KIAA0196,ZNF711
,TMTC2,,,,,KLHL21,ZNF16
,KIAA0892,,,,,TMCC2,ZNF33B
,SELENBP1,,,,,ATP2C2,CA1
,MR1,,,,,NCAPD2,CA4
,TMEM139,,,,,PAN2,RELL1
,PTPRF,,,,,ZBTB5,ZBTB16
,USMG5,,,,,KIAA0020,CACNA1A
,MOSPD2,,,,,CRYZL1,CACNA1B
,TPM1,,,,,NR1H4,CACNA1C
,WDYHV1,,,,,,ZNF204P
,SCARB2,,,,,,CACNA1D
,MBTD1,,,,,,ZFAND5
,PLEKHA7,,,,,,CACNA1E
,THOC4,,,,,,ZXDA
,FOXG1,,,,,,ZYX
,PDE6H,,,,,,DNALI1
,TM6SF1,,,,,,CACNA2D1
,YEATS4,,,,,,CACNB1
,ZNF430,,,,,,CACNB2
,SLC39A7,,,,,,BTG2
,ATG2B,,,,,,PXDN
,MYOM2,,,,,,CACNB3
,KIAA1244,,,,,,CACNB4
,C3orf63,,,,,,SCG2
,FGF1,,,,,,KCNAB1
,LPXN,,,,,,PCYOX1L
,ANXA5,,,,,,CAMKV
,ACOXL,,,,,,GGCT
,CHORDC1,,,,,,KCTD15
,PCCB,,,,,,FASTKD3
,UBXN8,,,,,,TRIM48
,B4GALT4,,,,,,CCDC28B
,ALDH1B1,,,,,,PPDPF
,LLPH,,,,,,DHRS11
,ADAMTSL3,,,,,,MGC4294
,C1orf215,,,,,,LILRP2
,03-Mar,,,,,,HSD17B8
,ZHX1-C8ORF76,,,,,,CALB1
,SLC7A11,,,,,,CALB2
,GATA3,,,,,,LST1
,SYN3,,,,,,TMEM231
,RSPH9,,,,,,GALNT14
,FAM50A,,,,,,NDNF
,CPSF2,,,,,,C1orf54
,S1PR5,,,,,,CCDC121
,ANG,,,,,,ARHGAP10
,C1orf88,,,,,,PARP8
,SNRPB,,,,,,STEAP4
,ONECUT2,,,,,,ZMAT4
,TMEM64,,,,,,ZBBX
,TREX1,,,,,,ZNF385D
,PGDS,,,,,,FZD3
,CPT2,,,,,,MCTP1
,KCNE4,,,,,,RERGL
,BHMT2,,,,,,MMRN2
,FAT3,,,,,,NIPAL2
,C9orf95,,,,,,CLMP
,CNNM4,,,,,,C7orf63
,PROS1,,,,,,TCTN2
,C11orf73,,,,,,THSD4
,RPL13A,,,,,,UBA5
,C16orf89,,,,,,PLBD1
,DTD1,,,,,,CYBRD1
,PAPLN,,,,,,TUSC3
,OR10W1,,,,,,PYROXD1
,COMMD6,,,,,,SPEF2
,GABRA3,,,,,,WLS
,GALC,,,,,,C7orf58
,,,,,,,ELOVL7
,,,,,,,CALD1
,,,,,,,GLRA3
,,,,,,,CSRNP3
,,,,,,,LRRTM4
,,,,,,,BICC1
,,,,,,,ARMC9
,,,,,,,PIGZ
,,,,,,,SCUBE1
,,,,,,,CCDC6
,,,,,,,PDGFD
,,,,,,,CCDC68
,,,,,,,ADAM33
,,,,,,,KCNIP4
,,,,,,,LY6G6C
,,,,,,,NDFIP1
,,,,,,,CALM3
,,,,,,,APOL4
,,,,,,,COLEC12
,,,,,,,CALR
,,,,,,,AP3B2
,,,,,,,OR51E2
,,,,,,,CAMK4
,,,,,,,GPR63
,,,,,,,CAMK2A
,,,,,,,ITFG1
,,,,,,,SLC38A1
,,,,,,,FAM49A
,,,,,,,YIPF5
,,,,,,,FAM117A
,,,,,,,APOLD1
,,,,,,,CAMK2B
,,,,,,,LBH
,,,,,,,ITM2C
,,,,,,,NETO2
,,,,,,,NETO1
,,,,,,,ST6GALNAC5
,,,,,,,CAPG
,,,,,,,SYN3
,,,,,,,USP11
,,,,,,,COLQ
,,,,,,,CDC7
,,,,,,,CAPZB
,,,,,,,FZD6
,,,,,,,HIST1H2AL
,,,,,,,HIST1H2BG
,,,,,,,PITPNM3
,,,,,,,HIST1H2BM
,,,,,,,HIST1H2BF
,,,,,,,HIST1H2BH
,,,,,,,GLT8D2
,,,,,,,HIST1H4D
,,,,,,,TMEM47
,,,,,,,CCDC3
,,,,,,,FAM167A
,,,,,,,MS4A8B
,,,,,,,CALN1
,,,,,,,SH3BGRL2
,,,,,,,CASP4
,,,,,,,CRISPLD2
,,,,,,,KRTAP4-12
,,,,,,,NME5
,,,,,,,SYT16
,,,,,,,TMTC1
,,,,,,,RAB34
,,,,,,,TM2D2
,,,,,,,PIP5K1B
,,,,,,,NCALD
,,,,,,,SPARCL1
,,,,,,,GPR98
,,,,,,,TAGLN2
,,,,,,,ANTXR1
,,,,,,,CMAHP
,,,,,,,LTBP4
,,,,,,,ANKRD32
,,,,,,,RNF135
,,,,,,,C10orf58
,,,,,,,C2orf40
,,,,,,,DUSP11
,,,,,,,ZMAT1
,,,,,,,CASQ2
,,,,,,,HOPX
,,,,,,,SRRM4
,,,,,,,MCHR2
,,,,,,,SLC12A8
,,,,,,,TUBB6
,,,,,,,NTNG2
,,,,,,,IL1F10
,,,,,,,
,,,,,,,CAT
,,,,,,,SORBS2
,,,,,,,RTN4IP1
,,,,,,,MGC16121
,,,,,,,PTPN5
,,,,,,,ZDHHC12
,,,,,,,RGS5
,,,,,,,DIRC2
,,,,,,,SPRYD3
,,,,,,,C13orf33
,,,,,,,CORO6
,,,,,,,PPFIBP1
,,,,,,,DISP1
,,,,,,,PPFIA2
,,,,,,,REPS1
,,,,,,,PIK3R3
,,,,,,,ENC1
,,,,,,,KCNAB2
,,,,,,,ITGA10
,,,,,,,ITGA8
,,,,,,,IFITM1
,,,,,,,ATCAY
,,,,,,,CSDA
,,,,,,,CPZ
,,,,,,,KIAA1644
,,,,,,,SHANK3
,,,,,,,CAMK1
,,,,,,,KIAA1671
,,,,,,,APOL1
,,,,,,,DCLK3
,,,,,,,ITPRIP
,,,,,,,TSPYL5
,,,,,,,KMO
,,,,,,,MKNK1
,,,,,,,CAV1
,,,,,,,PDLIM4
,,,,,,,CAV2
,,,,,,,SLC25A12
,,,,,,,CADPS
,,,,,,,RUNX1T1
,,,,,,,PDE8B
,,,,,,,TP63
,,,,,,,RTCD1
,,,,,,,AOC3
,,,,,,,LAMTOR3
,,,,,,,PDE5A
,,,,,,,SLC4A4
,,,,,,,VAMP8
,,,,,,,ACTN1
,,,,,,,B4GALT4
,,,,,,,B3GALNT1
,,,,,,,B3GALT1
,,,,,,,NOL4
,,,,,,,TNFRSF25
,,,,,,,CTNNAL1
,,,,,,,TNFSF10
,,,,,,,ADAM23
,,,,,,,ADAM9
,,,,,,,RAB11A
,,,,,,,RGS9
,,,,,,,PEX11B
,,,,,,,CREG1
,,,,,,,IL18R1
,,,,,,,INPP4B
,,,,,,,LIN7A
,,,,,,,NRP2
,,,,,,,NRP1
,,,,,,,TSC22D1
,,,,,,,CCK
,,,,,,,FCGBP
,,,,,,,STK19
,,,,,,,PER2
,,,,,,,SYNJ1
,,,,,,,AP1G2
,,,,,,,BSN
,,,,,,,WASF1
,,,,,,,CCND2
,,,,,,,KYNU
,,,,,,,CHRNA6
,,,,,,,SEC16B
,,,,,,,HSPB3
,,,,,,,PAPLN
,,,,,,,LIMD1
,,,,,,,KALRN
,,,,,,,ATPBD4
,,,,,,,CCNG2
,,,,,,,PHLDB2
,,,,,,,TSPAN18
,,,,,,,MPZL1
,,,,,,,FAM110B
,,,,,,,C15orf57
,,,,,,,ARTN
,,,,,,,PSTPIP2
,,,,,,,GPRC5A
,,,,,,,MLIP
,,,,,,,PAPSS2
,,,,,,,N4BP2L1
,,,,,,,ANGPTL1
,,,,,,,CLDN12
,,,,,,,DIRAS3
,,,,,,,LDB2
,,,,,,,IL33
,,,,,,,PIGQ
,,,,,,,TBX18
,,,,,,,ATP6V0D1
,,,,,,,TMEM67
,,,,,,,INA
,,,,,,,SLC16A6
,,,,,,,SLC16A4
,,,,,,,PDLIM1
,,,,,,,SYNGR3
,,,,,,,PKDCC
,,,,,,,UBXN11
,,,,,,,EXO1
,,,,,,,PLXNA4
,,,,,,,SLFN11
,,,,,,,NEXN
,,,,,,,BOC
,,,,,,,TMSB10
,,,,,,,IL1RL1
,,,,,,,CABLES1
,,,,,,,HTR3B
,,,,,,,OSMR
,,,,,,,CHRDL1
,,,,,,,CD4
,,,,,,,DCLK1
,,,,,,,ZC3HAV1L
,,,,,,,LGI1
,,,,,,,DLGAP2
,,,,,,,DLGAP1
,,,,,,,GORAB
,,,,,,,IL32
,,,,,,,ACPL2
,,,,,,,CRLF1
,,,,,,,DHRS3
,,,,,,,NUMBL
,,,,,,,FANK1
,,,,,,,MOB1B
,,,,,,,CD14
,,,,,,,GPR52
,,,,,,,ADAMTSL1
,,,,,,,KLF4
,,,,,,,PRDM6
,,,,,,,PTER
,,,,,,,PGAP3
,,,,,,,B4GALT6
,,,,,,,CD163
,,,,,,,B4GALT5
,,,,,,,MMGT1
,,,,,,,GLP2R
,,,,,,,ZNF670
,,,,,,,NDST3
,,,,,,,SLIT2
,,,,,,,SLC22A6
,,,,,,,ITGBL1
,,,,,,,MYOCD
,,,,,,,ARHGAP18
,,,,,,,TM9SF2
